Trained from ResNet152,Data: Fundus-normal-DR-selected,batchSize = 16,LR = 0.001,epochNum = 50,timeElapsed = 309m  0.18s
1,0.7440000176429749,0.7158589959144592,0.5253513083457947,0.5637232267821588,0.001
2,0.8040000200271606,0.7907488942146301,0.5447893276214599,0.4634846015648695,0.001
3,0.8040000200271606,0.8032305240631104,0.5345055317878723,0.4346156573680704,0.001
4,0.8160000443458557,0.8245227336883545,0.4807706670761108,0.3993997712142317,0.001
5,0.8180000185966492,0.8267253637313843,0.5518885145187378,0.39180689888203546,0.001
6,0.8300000429153442,0.8392070531845093,0.4110099437236786,0.37188575122499956,0.001
7,0.7980000376701355,0.8538913130760193,0.44239783787727355,0.367743840039039,0.001
8,0.8160000443458557,0.8575624227523804,0.4455543556213379,0.3459367172658531,0.001
9,0.8060000538825989,0.8627018928527832,0.4296073173284531,0.3330142179862343,0.001
10,0.8240000605583191,0.8575624227523804,0.3745420715808868,0.3356657282896504,0.001
11,0.8240000605583191,0.8641703128814697,0.3750210919380188,0.34144990292764793,0.001
12,0.796000063419342,0.8524228930473328,0.4805064680576324,0.33237796774607226,0.001
13,0.8240000605583191,0.8751835227012634,0.673643753528595,0.3067745176005819,0.001
14,0.8380000591278076,0.8751835227012634,0.35394518423080445,0.3151885366474829,0.001
15,0.8520000576972961,0.8641703128814697,0.34965682184696195,0.3277175122770794,0.001
16,0.8500000238418579,0.880323052406311,0.3497019810676575,0.29121586859838905,0.001
17,0.8420000672340393,0.8839941024780273,0.34091788029670717,0.29609520829634167,0.001
18,0.8020000457763672,0.8759177327156067,0.4007849688529968,0.3092061566098671,0.001
19,0.8260000348091125,0.8942731022834778,0.3564290943145752,0.27899576069324905,0.001
20,0.8440000414848328,0.8729808926582336,0.3538395674228668,0.28198335182452344,0.001
21,0.8380000591278076,0.880323052406311,0.34942983263731003,0.2871219767435357,0.001
22,0.8580000400543213,0.8847283124923706,0.6021196557283401,0.2946372000656464,0.001
23,0.8480000495910645,0.8854625225067139,0.3453822131156921,0.264244876977018,0.001
24,0.8500000238418579,0.8847283124923706,0.4742034375667572,0.2740980530931736,0.001
25,0.8600000143051147,0.8788546323776245,0.3551412613391876,0.27734277584479244,0.001
26,0.8480000495910645,0.9060205221176147,0.3294191954135895,0.25619025299771414,0.001
27,0.8540000319480896,0.8972100019454956,0.6244231033325195,0.2579408338000771,0.001
28,0.8520000576972961,0.889133632183075,0.40278311157226565,0.27242596614859704,0.001
29,0.8400000333786011,0.8906020522117615,0.43496105885505676,0.2714825009984592,0.001
30,0.8660000562667847,0.8957415223121643,0.43748572981357575,0.25601198256190827,0.001
31,0.8400000333786011,0.8898678421974182,0.3678210722208023,0.25387545461696676,0.001
32,0.8500000238418579,0.8942731022834778,0.39288124489784243,0.25747538063669695,0.001
33,0.8580000400543213,0.903817892074585,0.3986103051900864,0.24555053858417422,0.001
34,0.8560000658035278,0.8964757323265076,0.49772927141189577,0.25544899999657744,0.001
35,0.8500000238418579,0.8979442119598389,0.357359876871109,0.25726580173433616,0.001
36,0.7780000567436218,0.8861967325210571,0.5139017312526702,0.27159781576778397,0.001
37,0.8140000104904175,0.903817892074585,0.5442455871105194,0.24996292910561863,0.001
38,0.8480000495910645,0.8957415223121643,0.38679148960113524,0.25986896733180365,0.001
39,0.8180000185966492,0.8913362622261047,0.41468960320949555,0.26435630380144554,0.001
40,0.8360000252723694,0.9001468420028687,0.5305325109958648,0.25412104938523883,0.001
41,0.8180000185966492,0.907489001750946,0.8632613015174866,0.25377880905518274,0.001
42,0.8400000333786011,0.9016152620315552,0.4641728054285049,0.2590452843563147,0.001
43,0.8740000128746033,0.8906020522117615,0.3327168498039246,0.27145578568902484,0.001
44,0.862000048160553,0.9111600518226624,0.6438788442611695,0.23431957350078308,0.001
45,0.8320000171661377,0.9008810520172119,0.48459776377677916,0.23964295561443166,0.001
46,0.8360000252723694,0.9030836820602417,0.5813713879585266,0.234720186033613,0.001
47,0.8540000319480896,0.8986784219741821,0.3472982063293457,0.23795559389650733,0.001
48,0.8580000400543213,0.9140968918800354,0.3122461848258972,0.22281601211047908,0.001
49,0.8880000710487366,0.9243758916854858,0.36922402822971345,0.227622136495537,0.001
50,0.8460000157356262,0.895007312297821,0.3313236691951752,0.25512505024015114,0.001
